"site_no","station_nm","date","gage_ht","site_tp_cd","dec_lat_va","dec_long_va","coord_acy_cd","dec_coord_datum_cd"
"06453600","Ponca Creek at Verdel, Nebr.","2019-03-26 12:45:00",8.73,"ST","42.81111110","-98.17583330","S","NAD83"
"06461500","Niobrara River near Sparks, Nebr.","2019-03-26 12:15:00",5.17,"ST","42.90222220","-100.36222220","S","NAD83"
"06461500","Niobrara River near Sparks, Nebr.","2019-03-26 12:15:00",5.26,"ST","42.90222220","-100.36222220","S","NAD83"
"06463500","Long Pine Creek near Riverview, Nebr.","2019-03-26 12:45:00",2.37,"ST","42.68944444","-99.67888890","S","NAD83"
"06463720","Niobrara River at Mariaville, Nebr.","2019-03-26 12:45:00",3.78,"ST","42.78055556","-99.33972220","S","NAD83"
"06465500","Niobrara River near Verdel, Nebr.","2019-03-26 12:15:00",3.67,"ST","42.73972220","-98.22277780","S","NAD83"
"06465700","Verdigre Creek near Verdigre, Nebr.","2019-03-26 12:45:00",3.02,"ST","42.65444444","-98.04333330","S","NAD83"
"06466400","Bazile Creek at Center, Nebr.","2019-03-26 13:00:00",4.84,"ST","42.61638889","-97.87805560","S","NAD83"
"06466500","Bazile Creek near Niobrara, Nebr.","2019-03-24 11:00:00",2.37,"ST","42.73222220","-97.92250000","S","NAD83"
"06478522","Bow Creek near Wynot, Nebr.","2019-03-26 12:30:00",3.12,"ST","42.76527778","-97.17256670","1","NAD83"
"06486000","Missouri River at Sioux City, IA","2019-03-26 13:00:00",20.92,"ST","42.48582760","-96.41391840","F","NAD83"
"06600900","South Omaha Creek at Walthill, Nebr.","2019-03-26 13:00:00",6.97,"ST","42.14805556","-96.48333330","S","NAD83"
"06601000","Omaha Creek at Homer, Nebr.","2019-03-26 12:45:00",3.62,"ST","42.32166667","-96.48777780","S","NAD83"
"06610000","Missouri River at Omaha, NE","2019-03-26 13:00:00",26.45,"ST","41.25888735","-95.92251380","F","NAD83"
"06610705","Big Papillion Creek near Blair, Nebr.","2019-03-26 12:15:00",11.62,"ST","41.50888889","-96.21027780","H","NAD83"
"06610710","Big Papillion Creek near Kennard, Nebr.","2019-03-26 13:00:00",8.74,"ST","41.45110830","-96.19066390","S","NAD83"
"06610720","Big Papillion Creek near Bennington, Nebr.","2019-03-26 13:05:00",5.97,"ST","41.37888889","-96.18250000","S","NAD83"
