lati,longi,MAT,mTCM,ART,PSN,TOPO,DEMSTD,languages,endemic.languages,Sino.Tibetan,Altaic,Austronesian,Austroasiatic,PD,NRI,river123,river4,river5,river_all,broad.leave,shrub,grassland,agricultural,coniferous,forest,veg_rich,veg_SN
18.3753,109.34,24.388971,15.558734,15.378839,81.980476,1034,201.35,4,2,3,0,1,0,13,1.474810663,0,0,0,0,168.042,1097.39,0,530.8145,0,168.042,3,0.887171387
18.3509,109.78,25.226926,16.57471,15.121472,80.370827,644,122.918,4,2,3,0,1,0,13,1.474810663,0,0,0,0,579.7556,688.69,0,125.372,0,579.7556,3,0.939340293
18.8185,108.922,23.640813,14.035072,16.841035,81.349609,1604,271.717,5,3,5,0,0,0,10,3.932409503,0,0,46.8139,46.8139,1254.07716,578.7535,0,652.439,0,1254.07716,3,1.043658576
18.7962,109.365,22.74407,13.278761,16.571608,79.994812,1307,272.335,5,3,4,0,1,0,14,2.260450855,0,0,86.6415,86.6415,1429.909921,473.045,0,597.045,0,1429.909921,3,0.986887864
18.7716,109.807,23.310104,14.033395,16.340602,76.974739,1705,304.039,3,1,3,0,0,0,8,2.006557797,0,0,0,0,1928.329,571.671,0,0,0,1928.329,2,0.550991573
18.7446,110.249,24.626657,15.470772,16.368942,72.263107,1004,162.361,3,1,3,0,0,0,8,2.006557797,0,0,0,0,1311.1682,384.3394,0,259.7964129,0,1311.1682,3,0.874068671
19.2409,108.944,24.293877,14.256866,17.865273,80.885506,1469,175.118,6,4,6,0,0,0,12,4.322853279,0,0,58.7109,58.7109,1786.61998,502.6476,0,122.765,0,1786.61998,3,0.718493274
19.2184,109.389,23.113881,13.06528,17.943925,77.483063,1683,266.145,5,3,5,0,0,0,11,3.494840063,0,0,192.7924,192.7924,1453.41536,1046.58,0,0,0,1453.41536,2,0.699197306
19.1936,109.834,23.593054,13.711577,17.825432,72.431824,1278,186.507,4,2,4,0,0,0,10,2.598884958,0,0,171.4961,171.4961,740.031,1670.93,0,89.0377,0,740.031,3,0.769514326
19.1663,110.279,24.380589,14.736537,17.614622,67.059669,1049,123.801,3,1,3,0,0,0,8,2.006557797,0,0,72.4039,72.4039,1095.809,908.8999,0,495.29043,0,1095.809,3,1.071919117
19.6419,109.415,24.319687,14.29071,18.699121,66.70948,430,58.0359,4,2,4,0,0,0,10,2.598884958,0,0,0,0,1039.75,1151.0707,0,283.9053,0,1039.75,3,0.992875093
19.6168,109.862,24.150803,14.302954,18.477754,62.222466,453,55.9832,4,2,4,0,0,0,10,2.598884958,0,0,76.8986,76.8986,643.0954,1661.75,0,195.1543,0,643.0954,3,0.84619722
19.5894,110.309,24.210872,14.525137,18.065414,61.749725,473,44.3793,3,1,3,0,0,0,8,1.869351849,0,0,53.2827,53.2827,282.979,1658.74015,0,558.2809,0,282.979,3,0.881558042
19.5595,110.756,24.252344,14.697733,17.677126,62.673363,175,34.6747,2,0,2,0,0,0,5,1.456297106,0,0,0,0,113.383,1495.6224,0,234.1319,0,113.383,3,0.642983001
20.0137,110.34,24.076414,14.529111,18.00256,60.059299,163,29.417,3,1,3,0,0,0,8,1.869351849,0,0,30.6518,30.6518,0,1310.86683,0,111.5428008,0,0,2,0.330013361
19.9835,110.789,24.083475,14.494144,17.802408,62.575798,54,11.7103,2,0,2,0,0,0,5,1.456297106,0,0,0,0,43.6844,919.4965,0,492.94,0,43.6844,3,0.813836577
20.4672,109.918,23.620631,13.932588,18.378317,59.067017,205,40.6964,1,0,1,0,0,0,0,NA,0,0,0,0,829.599,730.4005,0,13.996,0,829.599,3,0.787088627
20.4392,110.37,23.558092,13.747246,18.397615,63.028393,232,51.2116,1,0,1,0,0,0,0,NA,0,0,0,0,833.816,388.73359,0,317.219,0,833.816,3,1.056548986
20.8942,109.947,23.537619,13.424838,18.952644,66.790413,127,19.9665,1,0,1,0,0,0,0,NA,0,0,125.067,125.067,1174.92,263.474,0,948.103,0,1174.92,3,0.997421636
21.3865,101.253,21.786911,9.341936,21.806824,80.07196,978,184.779,11,1,8,0,0,3,26,1.954305446,4.8158,0,0,4.8158,1341.113,0,0,0,0,1341.113,1,0.076598234
21.4057,101.712,20.760487,8.437374,21.299287,81.205582,975,198.232,11,1,8,0,0,3,26,1.954305446,0,0,0,0,1550.48,0,0,0,0,1550.48,1,0.070939065
21.3225,109.976,23.304709,12.692917,19.63325,70.085831,151,16.7205,1,0,1,0,0,0,0,NA,0,0,114.9573,114.9573,1467.35,108.103,0,744.6056,0.905604,1468.255604,4,0.846177457
21.2941,110.433,23.390233,12.795638,19.492888,72.410149,142,16.706,1,0,1,0,0,0,0,NA,0,0,42.8774,42.8774,507.254,88.39245,0,1267.34,0,507.254,3,0.817504366
21.7701,100.309,19.199927,5.77441,23.234665,84.026497,1544,278.494,13,4,9,0,0,4,27,2.394927543,0,0,57.566,57.566,1119.658,755.223,0,138.296,385.632,1505.29,4,1.221745474
21.7946,100.77,21.25192,8.421791,22.649593,80.099266,1620,360.862,13,4,9,0,0,4,27,2.394927543,36.5316,0,45.525,82.0566,1543.3335,390.478,0,352.517,0,1543.3335,3,0.905858602
21.8165,101.231,20.951599,8.388222,21.953394,75.364662,1297,232.77,14,4,9,0,0,5,30,2.145009676,58.6666,0,68.9232,127.5898,1766.9692,146.8135,0,263.568,0,1766.9692,3,0.663873327
21.836,101.692,19.744243,7.335607,21.316083,75.510635,1257,232.671,11,1,8,0,0,3,26,1.954305446,0,0,0,0,1122.8623,16.8274,0,322.348,0,1122.8623,3,0.667483072
21.8712,107.237,21.218105,9.629749,21.08096,77.25074,1105,174.825,2,0,2,0,0,0,5,1.468299621,0,0,62.0122,62.0122,1638.05,0,0,346.774,0,1638.05,2,0.53011962
21.8577,107.699,21.11133,9.626376,20.775447,81.283058,1195,232.364,4,0,3,0,0,1,13,1.524997596,0,0,99.4051,99.4051,1580.454,71.578,0,351.9077,470.643,2051.097,4,1.033660416
21.8416,108.161,21.931544,10.331688,20.872353,82.568672,1266,225.142,4,0,3,0,0,1,13,1.524997596,0,0,115.57,115.57,948.238,801.3086,0,566.592824,145.0545803,1093.29258,4,1.288096583
21.823,108.622,22.674718,10.785252,21.208035,81.449783,302,21.7803,4,0,3,0,0,1,13,1.524997596,0,0,73.4077,73.4077,670.714,292.9277,0,855.576,71.5384,742.2524,4,1.203455256
21.8019,109.083,22.685251,10.914823,21.019069,79.553818,382,25.6912,2,0,2,0,0,0,5,1.468299621,0,0,87.0233,87.0233,1310.346,0,0,767.0487,327.738093,1638.084093,3,1.024175623
21.7782,109.544,22.651669,11.063392,20.911533,73.23027,523,52.8769,1,0,1,0,0,0,0,NA,0,0,65.8607,65.8607,1770.33,83.4547,0,426.3406,137.19043,1907.52043,4,0.873628023
21.752,110.005,22.715401,11.318621,20.739447,69.144211,554,52.5265,1,0,1,0,0,0,0,NA,0,0,26.7702,26.7702,2033.58,0,0,292.3269,174.0975,2207.6775,3,0.667532674
21.7233,110.465,23.035278,11.685295,20.604366,70.223541,202,23.4432,1,0,1,0,0,0,0,NA,0,0,301.4269,301.4269,1804.85,0,0,656.72106,38.4257,1843.2757,3,0.714409025
21.6921,110.925,23.117706,11.702616,20.519176,71.93692,742,65.8237,1,0,1,0,0,0,0,NA,0,0,101.3247,101.3247,784.258,0,0,1644.81,0,784.258,2,0.696043476
21.6584,111.384,22.651579,11.274314,20.264006,72.960518,1134,171.194,2,0,2,0,0,0,5,1.456297106,0,0,33.5458,33.5458,976.711,465.337,0,504.148,92.2956,1069.0066,4,1.243898101
22.1738,99.8182,19.380495,5.299176,24.028566,84.205894,1243,200.551,9,0,7,0,0,2,22,2.047096134,0,19.9464,55.9152,75.8616,1400.606,376.034,0,0,223.156763,1623.762763,3,0.886024711
22.201,100.281,18.811504,4.974255,23.643797,84.56237,1477,276.242,9,0,7,0,0,2,22,2.047096134,0,0,72.0193,72.0193,966.80059,37.165913,0,431.227,1064.81,2031.61059,4,1.159174703
22.2257,100.745,20.195509,6.88152,23.107391,81.193436,1816,296.268,13,4,9,0,0,4,27,2.394927543,73.7931,0,11.5755,85.3686,1710.678308,353.601,0,404.334,31.3906,1742.068908,4,0.952909063
22.2478,101.209,19.580124,6.659695,22.273372,78.731651,1279,206,14,4,9,0,0,5,30,2.145009676,0,0,111.9138,111.9138,1253.52618,1246.474,0,0,0,1253.52618,2,0.7645501
22.3141,106.786,22.294739,10.000207,22.428708,73.423775,708,112.915,2,0,2,0,0,0,5,1.468299621,0,66.5164,48.3032,114.8196,977.9,642.898,0,382.9572,0,977.9,3,1.110039358
22.303,107.25,22.361482,10.305552,22.005414,73.195175,388,70.7659,2,0,2,0,0,0,5,1.468299621,0,93.5541,107.5329,201.087,1444.085,157.3006,0,898.611906,0,1444.085,3,0.930057357
22.2893,107.715,22.057988,10.05332,21.793776,75.110306,638,103.385,3,0,3,0,0,0,8,1.971273766,0,13.7283,96.7546,110.4829,857.6298,1044.8706,0,588.266,9.23447,866.86427,4,1.161203741
22.2731,108.179,21.975864,9.878315,21.790918,75.158836,637,88.8157,3,0,3,0,0,0,8,1.971273766,0,0,298.2494,298.2494,1891.004,320.711,0,253.25113,35.0344,1926.0384,4,0.841681562
22.2543,108.643,22.232895,9.964266,21.952528,74.662399,522,78.0171,2,0,2,0,0,0,5,1.468299621,0,0,127.8717,127.8717,688.315,285.204,0,180.0862,1346.39,2034.705,4,1.195640087
22.233,109.107,22.18925,9.947286,21.941895,72.68718,657,56.3422,2,0,2,0,0,0,5,1.468299621,0,0,139.0393,139.0393,1004.86,162.698,0,186.2863,1146.1561,2151.0161,4,1.16694207
22.2092,109.571,21.725372,9.582485,21.869989,68.371063,775,131.198,1,0,1,0,0,0,0,NA,0,0,265.9609,265.9609,1395.876,0,0,274.827,829.292,2225.168,3,1.010031642
22.1827,110.034,21.968559,9.848269,21.947231,65.364609,508,79.1625,1,0,1,0,0,0,0,NA,0,0,104.3559,104.3559,1356.64618,0,0,1143.354,0,1356.64618,2,0.77124924
22.1538,110.497,22.313539,10.176697,21.872784,68.337952,614,99.1162,1,0,1,0,0,0,0,NA,0,0,88.2886,88.2886,1939.12,0,0,104.9132,455.964,2395.084,3,0.72443004
22.1223,110.96,22.274098,10.15163,21.638661,71.681,1422,211.618,1,0,1,0,0,0,0,NA,0,0,63.1358,63.1358,1739.1644,0,0,506.871,253.967,1993.1314,3,0.890153009
22.0883,111.422,21.466344,9.58052,21.113345,73.012825,1631,282.322,2,0,2,0,0,0,5,1.456297106,0,0,16.5107,16.5107,1750.3535,66.10346,0,109.13374,574.4062,2324.7597,4,0.903037682
22.0518,111.884,22.258928,10.563313,20.81709,73.756004,967,135.309,2,0,2,0,0,0,5,1.456297106,0,0,140.3537,140.3537,235.048,341.8605,0,785.80643,25.490455,260.538455,4,1.160588103
22.0127,112.345,22.367374,10.999442,20.367448,75.479538,692,97.5407,1,0,1,0,0,0,0,NA,0,0,29.6538,29.6538,0,228.945,0,373.5901,106.25,106.25,3,1.172858113
21.9712,112.806,22.361287,11.283601,20.058382,79.40789,795,116.193,1,0,1,0,0,0,0,NA,0,0,0,0,0,970.22232,0,697.593,0,0,2,0.799396242
22.6056,99.7874,18.479704,4.14351,24.039423,85.256523,1442,282.985,7,0,6,0,0,1,19,2.152069509,0,36.3615,85.6115,121.973,772.7214,1506.186,0,0,221.0972,993.8186,3,0.968733
22.6331,100.253,18.70175,4.52669,23.874065,85.663467,1869,369.429,10,0,8,0,0,2,25,2.078097241,38.4516,0,52.56,91.0116,692.504782,1250.764,0,0,556.732,1249.236782,3,1.120274126
22.658,100.72,19.463467,5.45939,23.768814,84.823166,1411,224.861,15,4,10,0,0,5,31,2.410029786,24.6485,0,39.1237,63.7722,970.55401,195.043,0,0.660943,1333.7399,2304.29391,4,0.991490951
22.6803,101.186,18.3,4.999417,22.570802,85.494514,1350,239.22,13,4,8,0,0,5,28,2.166732853,0,0,85.169,85.169,205.4135,1262.475,0,297.894,734.222,939.6355,4,1.246548236
22.7001,101.653,19.070734,6.340503,21.717821,84.32058,1593,274.106,14,5,9,0,0,5,30,2.227343598,45.4301,0,19.7307,65.1608,597.731,1876.0832,0,0,0,597.731,2,0.651883758
22.7172,102.12,19.76321,7.528216,21.085684,84.792183,2175,398.619,7,1,7,0,0,0,17,2.957594832,66.0446,0,0,66.0446,1962.919,507.6718,0,0,0,1962.919,2,0.609252004
22.7318,102.587,19.191789,7.392735,20.570998,87.720024,2322,417.932,11,2,9,0,0,2,26,2.178175594,0,0,10.2584,10.2584,1119.03191,297.073,0,0,0,1119.03191,2,0.66620014
22.7439,103.055,19.22784,7.977744,19.827725,87.515488,2370,496.894,10,1,8,0,0,2,24,2.079407029,0,0,50.6856,50.6856,1960.75386,272.551846,0,0,0,1960.75386,2,0.486502562
22.7533,103.522,19.316502,8.479939,19.227362,81.744171,2769,625.919,9,1,7,0,0,2,23,1.782690216,49.6229,0,0,49.6229,1178.5558,181.707,0,46.8134,0,1178.5558,3,0.682037495
22.7602,103.99,20.063153,9.476502,19.20128,81.241875,1860,469.652,9,1,9,0,0,0,21,3.500398052,24.7566,0,60.985,85.7416,1277.2414,77.0627,0,346.385,0,1277.2414,3,0.812007293
22.7472,106.796,21.608104,9.193664,22.634921,77.076622,703,131.947,3,1,3,0,0,0,8,2.008168417,0,0,46.0625,46.0625,0,1403.2112,0,282.146,0,0,2,0.595247492
22.736,107.264,21.873032,9.487714,22.575154,73.175224,827,119.627,3,1,3,0,0,0,8,2.008168417,0,2.3982,75.1179,77.5161,451.4491,1560.227,0,488.324,0,451.4491,3,1.019138603
22.7222,107.731,22.20497,9.849692,22.526799,70.421867,834,127.731,3,1,3,0,0,0,8,2.008168417,0,75.5316,35.5544,111.086,1663.5542,205.22659,0,631.2215,0,1663.5542,3,0.924262824
22.7058,108.198,22.247652,9.872472,22.525746,67.110733,298,51.8141,2,0,2,0,0,0,5,1.468299621,78.4197,42.0262,123.2959,243.7418,1159.5,97.6604,0,1242.8424,0,1159.5,3,0.931792192
22.6869,108.665,22.071556,9.601405,22.60867,67.512337,300,33.4965,2,0,2,0,0,0,5,1.468299621,104.623,0,14.9298,119.5528,1439.47,0,0,654.9009,405.62951,1845.09951,3,1.06257985
22.6654,109.132,21.939377,9.420596,22.690918,68.133652,438,44.159,2,0,2,0,0,0,5,1.468299621,311.1062,0,0.7899,311.8961,1448.99,0,0,635.220484,415.785,1864.775,3,1.062363375
22.6413,109.598,21.349692,8.824142,22.727504,65.805214,665,114.478,2,0,2,0,0,0,5,1.468299621,34.1802,0,136.8365,171.0167,1592.7,0,0,153.891,753.4106,2346.1106,3,0.925042138
22.6147,110.064,21.320872,8.696841,22.968384,61.989357,985,137.08,1,0,1,0,0,0,0,NA,0,0,70.5152,70.5152,1686.7798,0,0,667.7672,145.4498,1832.2296,3,0.890368268
22.5855,110.53,21.438852,8.78784,22.87877,66.633118,982,151.066,1,0,1,0,0,0,0,NA,0,0,140.7709,140.7709,1577.04963,0,0,737.62107,185.3299649,1762.379595,3,0.949777989
22.5537,110.995,21.094502,8.506152,22.580997,70.270103,1126,188.517,1,0,1,0,0,0,0,NA,0,0,141.1929,141.1929,1829.5111,0,0,134.1674,536.32339,2365.83449,3,0.826546603
22.5194,111.46,21.133896,8.751996,22.23916,70.984512,1519,260.252,2,0,2,0,0,0,5,1.456297106,0,0,95.2017,95.2017,1365.00311,269.052,0,132.189,676.072,2041.07511,4,1.184275985
22.4826,111.924,21.729402,9.584869,21.905228,71.593536,845,152.849,2,0,2,0,0,0,5,1.456297106,0,0,133.4088,133.4088,423.42098,550.166,0,414.337,550.7591,974.18008,4,1.486606219
22.4432,112.388,22.136996,10.266173,21.536755,75.680672,1118,174.467,2,0,2,0,0,0,5,1.456297106,0,0,117.2042,117.2042,0,0,0,548.549,367.663,367.663,2,0.895665871
22.4012,112.852,22.371016,10.699472,21.29409,82.588463,900,122.624,1,0,1,0,0,0,0,NA,0,0,215.4574,215.4574,0,577.516,0,1566.68,0,0,2,0.715380948
22.3568,113.315,22.555145,11.065668,21.107642,73.182793,510,65.3256,1,0,1,0,0,0,0,NA,185.432,0,142.8299,328.2619,0,970.8917,0,1057.13,0,0,2,0.827346368
23.0386,99.7563,17.264961,2.926829,23.636414,85.920647,1619,353.546,7,0,6,0,0,1,19,2.152069509,0,0,83.5889,83.5889,1033.341,360.399,0,185.69,896.7203,1930.0613,4,1.309573476
23.0663,100.225,19.013173,4.752723,23.820558,86.060585,1738,325.476,8,0,7,0,0,1,22,2.11944702,71.6694,0,16.0451,87.7145,1221.267,515.522,0,0,763.21094,1984.47794,3,1.145611113
23.0914,100.694,19.491472,5.445328,23.638022,85.436287,1519,244.012,7,0,6,0,0,1,20,1.828498457,0,0,64.631,64.631,876.2478,557.243,0,0,1066.51,1942.7578,3,1.173308508
23.114,101.163,18.353723,4.866984,22.75981,86.307037,1380,247.663,7,0,6,0,0,1,20,1.828498457,44.7005,0,30.2307,74.9312,64.4446,753.6643,0,328.672,1353.2238,1417.6684,4,1.163846398
23.1339,101.633,19.007436,6.056061,22.106078,84.959251,1628,316.677,7,1,7,0,0,0,17,2.957594832,43.0649,0,74.8837,117.9486,242.665,1820.9223,0,18.0376,418.3751,661.0401,4,0.910575305
23.1512,102.103,17.357982,4.854687,21.401698,87.130775,1894,340.443,7,1,7,0,0,0,17,2.957594832,0,0,35.7145,35.7145,1524.13,248.7701177,0,360.105,366.99,1891.12,4,1.201641816
23.166,102.573,19.137758,7.009177,21.156146,85.791397,2405,474.106,11,2,9,0,0,2,26,2.178175594,40.0799,0,59.0943,99.1742,1615.923,724.364,0,129.262,30.4509,1646.3739,4,0.966467507
23.1781,103.043,18.443976,6.676514,20.675732,84.984344,2624,607.194,10,1,8,0,0,2,24,2.079407029,61.9071,0,0,61.9071,912.5799,1348.9501,0,238.469,0,912.5799,3,1.041855578
23.1876,103.513,17.875169,6.491147,20.105971,82.027138,2089,393.462,9,1,7,0,0,2,23,1.782690216,18.8656,0,80.9799,99.8455,1986.886,355.709,0,157.402,0,1986.886,3,0.761958895
23.1945,103.984,16.052246,4.832253,19.801317,83.387032,2646,368.636,9,1,9,0,0,0,21,3.500398052,0,4.6829,17.8901,22.573,2061.6561,438.344,0,0,0,2061.6561,2,0.598998438
23.1989,104.454,17.181902,5.82713,20.406123,84.154633,1209,197.966,12,3,11,0,0,1,28,3.955155834,0,90.6932,12.9304,103.6236,1434.4113,811.727,0,253.862,0,1434.4113,3,1.036182196
23.2006,104.925,17.780373,6.169067,21.055626,84.962669,1965,374.47,9,2,8,0,0,1,24,3.05678409,0,13.5773,0,13.5773,967.904,436.5803,0,203.8448,0,967.904,3,1.08195548
23.1962,105.866,18.971419,7.213533,21.539732,84.392998,1304,243.025,9,4,9,0,0,0,21,3.222817244,0,0,0,0,524.8813,1675.918795,0,160.6093,0,524.8813,3,0.892817024
23.1901,106.337,19.118887,7.051707,21.963934,83.688866,623,104.854,4,2,4,0,0,0,13,1.483793306,0,0,13.7887,13.7887,1184.395211,953.7929,0,354.551,0,1184.395211,3,1.118400744
23.1814,106.807,20.494334,8.043996,22.695352,79.144165,1016,147.487,4,2,4,0,0,0,13,1.483793306,0,0,103.4614,103.4614,2023.7094,456.3955,0,19.89064,0,2023.7094,3,0.657999276
23.1701,107.277,21.158211,8.560286,22.974634,73.606598,676,97.7997,3,1,3,0,0,0,8,2.008168417,6.4019,0,23.5754,29.9773,1058.58,1426.8733,0,14.5426,0,1058.58,3,0.845725048
23.1562,107.747,22.188493,9.552172,23.162865,68.60183,554,105.462,3,1,3,0,0,0,8,2.008168417,90.1342,0,35.24,125.3742,1382.45,550.098,0,567.4481,0,1382.45,3,1.119499773
23.1397,108.217,22.122064,9.4741,23.188458,65.278343,422,56.1594,3,1,3,0,0,0,8,2.008168417,20.7066,0,91.8937,112.6003,1389.436911,319.549,0,791.0148,0,1389.436911,3,1.078163855
23.1206,108.687,21.32032,8.627421,23.180191,65.003738,913,144.055,4,1,4,0,0,0,10,2.648913225,0,0,0,0,1523.7987,8.98803,0,595.4221,371.788,1895.5867,4,1.072880032
23.0989,109.156,21.521611,8.771593,23.34492,65.41964,904,113.584,4,1,4,0,0,0,10,2.648913225,0,0,78.851,78.851,1323.157,138.086,0,701.9812,336.775,1659.932,4,1.243227288
